id,testGroup,storeLocType,storeAge,pop5mi,comp5mi,sumPre4_5,sumPost4_5,wk1,wk2,wk3,wk4,wk5,wk6,wk7,wk8,wk9,wk10,wk11,wk12,wk13,wk14,wk15,wk16,wk17,wk18,wk19,wk20,wk21,wk22,wk23,wk24,wk25,wk26,wk27,wk28,wk29,wk30,wk31,wk32,wk33,wk34,wk35,wk36,wk37,wk38,wk39,wk40,wk41,wk42,wk43,wk44,wk45,wk46,wk47,wk48,wk49,wk50,wk51,wk52
121,Control,Urban - Strip Mall,6,213000,97,155477,439766,9295.6,8370,10245.6,11228,8741.2,15229.2,11964.8,10902,12213.6,12719.8,12432.4,11020,10971.8,10143,11066,10889,9525,9853,9764,10447,8175,8666,12655,9145,10002,11000,10908,9675,8943,11634,12151,10202,9963,12993,12898,12303,8994,10562,12965,9047,11119,13017,11530,12528,12313,10683,15731,12072,13434,13219,17877,11675
122,Control,Urban - Standalone,41,119000,9,205947,596026,14224,13504.2,15562.4,15952.6,13715.6,16309.8,12285,12594.8,13342.4,14142.4,15691,16698,17538.8,14386,11491,12758,16107,14552,15674,15502,14524,12509,15721,14414,15536,14627,13474,16261,11423,13000,16496,12896,12885,13083,16758,12813,16305,13008,15944,12773,16408,14560,13061,16503,15251,19896,17817,18520,16357,21509,20565,20659
123,Control,Suburban - Strip Mall,2,173000,7,267180.8,729826,19376.4,20562.2,15850.4,20783,16946,18505.8,19973.6,15735.6,16308.2,19832,19483.6,22445.8,21592.2,19786,14569,15811,14703,16413,14195,17595,19820,16174,20021,15813,18405,20641,14995,19946,19843,14860,17221,16513,15242,20476,16116,14832,15347,19961,16338,20749,21440,21564,20241,15809,20939,19282,22222,18230,21175,26809,28550,27180
124,Control,Suburban - Strip Mall,35,20000,67,425965,1182961,32184.4,23341.2,30902.8,32839.8,27495.2,37354.2,27650.6,34190,30942.4,24964,25405.8,35342,33930.6,29422,24848,25756,30675,31756,28133,25512,23300,31094,31675,29286,22231,28604,25085,31368,33517,22855,32041,28541,23672,35644,28207,32993,35163,26091,24850,26786,26580,35101,26610,28890,33846,34987,33454,34294,34766,45171,44638,35519
125,Control,Urban - Standalone,11,6000,79,446075,1296241,30634.8,36394.8,29565.6,31106.8,33985,34979.2,34255.4,34509.4,28138.2,33219.4,32096.6,29713.6,26730.2,30746,32682,26912,29038,35099,34679,32633,32965,33344,35983,30295,26621,30414,32349,25064,24369,28070,30866,25266,30002,36606,30042,32774,37940,29472,30801,39551,37314,36285,27112,27850,31563,37971,51248,38775,40842,43657,41431,37610
126,Control,Rural - Standalone,23,55000,2,220563.6,612357,16058.4,12222.2,14436.8,13570.6,12350,18754.2,15455,15732.6,15356.4,17952.4,16327.4,17762.8,17945.8,16639,13675,16560,16162,12878,15443,11589,15426,15644,13696,13188,12335,15897,16331,13769,12531,14648,14236,12466,15501,13746,15128,17822,15501,16024,18543,17306,14511,15235,17891,14183,17027,18869,20455,17578,17724,18403,22118,15679
127,Control,Rural - Standalone,13,58000,61,164982.4,451402,11669.6,10595.2,10231.8,12804.2,12075,15787.2,12322.6,9539.2,11333,9646.4,13020.8,10320.8,13092.6,12544,10013,9775,9491,11236,8315,9574,9896,12299,11511,11971,12105,9793,12077,9697,10266,10633,8831,12938,11828,10339,13613,10202,10000,11102,13490,10008,13778,13070,13245,12578,9851,12282,15772,11738,11539,15073,14076,14853
128,7B,Suburban - Standalone,30,274000,9,310560.8,911060,19917,20165.4,19626.8,24532.8,19886.2,23747.6,22138,20951.6,21692.6,21520,24339.2,25231,25382.6,21430,21472,24567,21409,25664,18485,25151,17582,20857,19434,18029,23608,20065,19709,23612,25134,24445,20332,23093,25585,25100,20260,19808,23194,19012,23458,21078,26302,22829,22645,26876,22482,25699,34789,20399,27102,36001,30920,23443
129,Control,Suburban - Standalone,34,251000,6,453718.6,1261875,27757.8,33143,28792.6,26533.4,35707,45920.6,27020.2,36925,25643.2,37865.4,37934,27623.8,26981.6,35871,24687,27011,24698,30559,27047,31711,29266,24063,33770,25009,25231,34816,28058,24926,29678,34259,29146,34167,33144,36976,37318,27986,26743,36652,29356,30904,35641,36484,30399,34524,31528,37235,38649,31432,39868,46346,47418,39299
130,Control,Suburban - Strip Mall,9,158000,13,246294.2,665004,12504,17127.2,17729.4,17144.4,13669,24492.6,18815,18522.4,19887.8,19414,16214.2,18250.2,19384,13140,15854,12839,14133,16059,18017,14023,13447,16714,16110,13596,13557,15756,17501,13681,16027,14383,17368,14470,18263,15027,16442,16287,18741,18055,16377,14178,15292,18709,20265,16271,20749,19555,25107,17890,21935,20108,29838,19240
131,Control,Urban - Standalone,8,67000,3,382142.2,1059252,23119,23153.2,27968.4,33238.2,23404.2,27592,27833.2,32110,31761.4,24498.2,31343.2,23625.2,31619,20877,25880,21673,21301,24246,25201,22432,20612,22187,27354,24057,21222,31563,28715,20612,22156,20588,31290,24817,25476,24638,24642,26646,28435,28388,23701,33088,28221,33271,30763,29974,28745,36497,41074,26362,26013,34124,33938,38473
132,7B,Suburban - Standalone,20,157000,5,481592.2,1267852,33922,28500.4,25613.8,34640.2,33233.6,46456.2,32119.6,37221,33597.6,36185,38981.6,34080.2,35478,31563,33729,24698,34050,28559,33166,25889,29314,34010,27380,24155,32823,29489,32484,24787,26959,23958,32975,36931,34634,35565,34319,37188,35984,33310,28193,26839,28805,37696,30335,35047,34719,36047,46884,27012,32161,47000,40983,38212
133,Control,Urban - Standalone,26,73000,2,159141.4,460613,9075.6,9830,9505.4,9848.2,10278,16201.6,13349.6,13169.6,13265,12355.2,10542.8,12074.4,10994,8652,10309,12383,12342,10013,10102,9936,11934,9240,10015,11540,8861,12864,12143,11741,11709,12254,9751,9170,9405,11735,11945,12761,10393,9749,11099,11367,12233,12486,11449,13840,10226,12164,17970,11869,13606,19322,17096,14939
134,Control,Rural - Strip Mall,11,317000,22,497891.4,1444315,30633.6,30312,28780.4,38789.4,33415.8,51112.2,33491,36345,33818.2,35546,41496.8,33950,39845,30356,27788,35864,39927,36396,26847,38335,37126,29357,37541,32931,35534,30971,39443,28954,34592,30772,40597,29554,39479,34902,40364,37773,36472,32597,42753,43733,38367,29684,44075,31099,37425,34555,42265,36306,38798,45249,65464,50070
135,Control,Suburban - Standalone,40,80000,41,202788.6,586226,11229.2,12359,13241.2,14664.6,14047.2,20556.8,14795.4,16723.8,11771.6,16292.8,12798.4,15028,14887.6,14393,13746,16155,14246,13508,14437,14878,11957,16012,14172,14761,12539,12604,15035,15230,14358,13553,12182,15830,11981,16854,14193,13229,14718,11539,12381,13077,12574,15659,12460,16682,15665,17406,20992,14806,16713,25398,18595,21708
136,7B,Suburban - Standalone,4,87000,4,422139.8,1218285,23306.8,26341.2,27590.2,35535.8,27961.8,42092.8,32633.4,26736,30121,35002.6,26171,34149.4,28393.8,26104,33040,33953,28247,26234,23506,31347,24308,30626,35495,25246,25953,28916,26264,26825,32492,33880,32737,24758,34271,24715,35448,31186,24396,28750,24810,36887,34030,26322,30018,29229,33847,29160,40380,25867,36919,48204,51506,42409
137,8A,Suburban - Standalone,28,122000,40,271291.2,780416,16734.6,16197,21268,18173.6,21982.8,21485.8,23557,17298.6,16464.2,18254,21688,20005,20697.6,17485,19744,21387,17938,17350,14509,15121,20490,19668,15552,18291,13985,21167,16009,19433,16872,18782,16276,16810,20340,23592,18437,20357,19771,19574,21907,23324,22340,16477,19042,19396,24650,25794,25667,20059,25240,26145,29977,21458
138,8A,Urban - Standalone,17,243000,12,346146,962358,23328.8,23804.8,19323,23883,25901.6,25073.6,25102.2,28464.8,21895,22339,28950.6,30528.4,26361.2,21190,19901,26209,22828,28091,24977,26545,20241,20793,22268,21449,17329,21899,26262,21549,20726,21266,25360,20177,22697,26791,21289,23648,26725,24294,24058,20288,21019,28858,26191,24848,25775,25104,35457,25311,29100,32640,34790,34415
139,Control,Metropolitan - Standalone,15,13000,28,211644,648774,17101.2,13185.4,13264.8,13401,12227.2,19093.6,13533,15274.2,12677.8,18783.4,14408.4,17065.8,18602.2,13026,15554,17611,15692,15030,14728,15629,15445,14497,18074,13263,12098,18482,16819,13939,16400,12532,12286,16075,16132,16694,19028,17907,15930,14762,17958,16474,13797,18250,18569,18764,19154,21336,21514,16057,14751,21911,24726,17880
140,Control,Urban - Strip Mall,15,475000,11,257371,737751,13785.6,17936,13732.2,18995.4,17832,23002.2,15278,17954.2,18182.2,21721,17297.4,22478.2,19462.6,19714,14138,17561,14930,15949,17200,16194,19215,16952,20876,17433,15470,22664,15021,20217,16023,19200,19217,15315,17246,20690,17105,17816,16489,15904,19146,16811,18023,21638,21035,20502,16306,23346,26181,17179,21495,25607,29926,22017
141,Control,Suburban - Standalone,27,60000,2,314382.8,940274,17948.6,20572.4,17885.2,19185.4,24290.8,32361.8,20717,23372.2,23879.2,20949.6,25586.6,27669.2,20309.8,19655,25336,22992,18719,23333,17359,22367,19545,18023,24044,21351,20762,20046,19017,23763,24848,24880,21565,24599,20625,24798,25171,26853,26031,18736,22551,20160,27340,26718,26749,20240,26720,27295,27147,28801,31679,35611,32613,32232
142,Control,Urban - Standalone,38,51000,2,212341,600791,16578.4,15250.8,15515.6,18412.2,14420.8,14915.2,16535.6,13440.6,13088.8,12765,14949.4,16544.2,12890.4,17034,15010,12065,13981,14557,13351,16981,12248,13612,13783,14102,12756,17366,16367,14246,14908,15217,15892,14628,17689,16131,13283,14067,15708,15146,17783,18470,17691,14030,13598,13838,13536,14528,23623,14221,14470,18194,21178,15503
143,Control,Metropolitan - Strip Mall,41,94000,2,505835.2,1343893,32925,38220.6,36168.4,28920.6,33112.6,48171.4,32962.6,36575.8,40358.4,37944,35307.6,34226.6,33496.6,37445,34027,34153,29340,37133,28305,26984,29035,35879,33352,30426,31560,36161,36858,26018,35175,27020,30012,27934,38561,37125,28927,37846,39603,30367,35689,29336,41457,28399,35685,29921,42539,44555,36739,28363,41592,47374,44029,38969
144,Control,Metropolitan - Standalone,26,15000,1,339634.2,997875,21408,18760.4,18228.6,25922.6,26070.6,31026.8,25138.6,27101,19919.6,19808.2,28830.8,28860.8,25547.2,23011,23696,22513,24696,30325,20570,23465,19434,21437,22875,22413,19490,28259,22047,24491,24544,24046,19221,27785,27644,27254,20192,24188,26820,20801,24930,23084,28455,29230,26748,27310,27136,32547,35620,21557,29307,29022,40974,30738
145,Control,Rural - Standalone,35,396000,50,292303.8,919453,23454.8,18415,17146.6,21402.8,17062,26412.6,25529.2,19806.4,18894.2,19430.2,18776.2,23011,21223.8,21739,24338,23896,18529,26139,21171,21349,18145,20195,22574,17330,18376,25699,22958,21731,24285,20469,22797,24725,23342,21208,20603,21716,18947,22054,18676,23973,22045,25641,25082,19622,27067,27024,34881,24776,22782,36960,34905,31704
146,Control,Metropolitan - Strip Mall,33,19000,1,289472.8,816310,18151.4,21203.6,18864.8,16583.8,20959,21047,18568.6,19749.8,22088.6,19988,22667,25899.4,22444.8,21257,20792,20384,17457,22717,19394,17834,15358,16043,17527,20898,15890,23805,21690,22060,19153,21170,22166,18566,17492,20955,21629,20606,21872,22048,22938,17963,22455,24419,17836,19699,24433,23799,23145,18885,23739,27367,25274,25595
147,Control,Suburban - Strip Mall,27,57000,3,340909.8,937319,22808.4,23603.6,18447.2,28763.2,26790.8,25229.4,27592.4,26157.8,23227,26345.4,27052.6,22481.2,20949.8,21461,21939,25497,23714,21427,18320,21393,18677,22212,23320,20090,18977,23992,24118,22265,24687,22949,25506,19561,19602,22941,25133,23179,22166,25864,23651,23164,27643,25096,21033,21952,21684,25350,27685,29481,25409,40771,33168,32242
148,Control,Urban - Strip Mall,8,147000,13,455069.8,1268227,30320,27843.8,27746.2,29240.6,31034.4,41581.8,34384,27754.8,37620.8,27647.4,39260,37756,28744,34136,32540,33920,36347,29479,27953,27037,24078,30362,36251,24702,27977,38435,35589,31224,32634,27374,31633,27196,32489,33533,34666,35928,27654,27229,35080,27023,30993,33915,34745,31677,37399,33218,40305,27403,33190,49423,40591,32899
149,Control,Urban - Standalone,6,106000,15,234287.2,690205,18499.2,14224.6,18209.8,19018,14607.2,20750,17121.8,14275,17285.8,13998.4,18000.8,17846.4,14502.2,15948,14068,13672,14940,15392,16513,14531,16395,17879,18961,14014,13695,19291,19177,12872,19104,15757,14739,19135,19597,15431,14090,19561,13583,16747,20390,18877,15545,16674,17220,17830,19280,22004,24852,18860,16151,25454,31496,20480
150,Control,Metropolitan - Strip Mall,24,24000,5,394730.2,1140530,22065.2,25211.2,29979.8,28550.2,23370.4,33512.2,32641.8,33300.8,25894.8,26384.2,23498.2,34312.8,29418.6,26590,28680,29432,27890,24783,24594,31272,30574,22141,30570,25485,22502,33239,27258,22156,30228,24947,24050,30031,28426,25924,24750,27972,23473,30299,30056,28379,30398,23868,33080,24615,26737,35914,36565,34611,36942,41511,39333,41255
151,Control,Metropolitan - Strip Mall,39,221000,90,387761.4,1098572,28314.8,28091.6,25459.8,24079,29900.4,34509.6,29051.8,29974.4,27016.6,29497,29387.6,30253.4,21878.4,20347,23207,30458,28732,31397,20000,27114,25555,29026,27440,19591,24102,27908,26330,21507,20174,25054,28930,26330,25426,31495,29757,21209,28918,22901,27418,28633,30749,32000,32315,28164,28954,30095,42790,28717,36568,33502,41956,33803
152,8A,Urban - Standalone,6,28000,111,195707,530592,14734.6,15031.4,14688.4,13549,11343.2,17656.4,11162.8,12572.6,13198.4,11938.2,15670.4,16408.2,12955.4,14798,10589,13991,13579,12784,11908,12904,11396,10239,15131,10231,10840,13064,10991,12744,10368,13440,13416,12961,12133,13753,13285,11830,15205,13921,10951,15032,12536,11454,15717,14084,13749,14455,18350,14213,12851,23063,22955,15681
153,Control,Suburban - Strip Mall,12,5000,6,386960.6,1146132,24019.4,26887.8,25585,23209.4,31693,34529.2,29128.4,23205,24001.2,27699,32650.2,31319.6,24048.4,28985,21981,29000,28058,30806,22044,27514,28502,28524,27149,20466,28157,32648,23113,28726,21362,31192,24134,28182,31679,32823,33049,31430,24148,29879,30252,33517,26064,33277,25589,33580,25735,31482,39106,31196,28315,34417,46431,33620
154,Control,Suburban - Standalone,17,254000,57,403383.4,1148734,29496,28704.4,30496.6,34444.6,23428.6,29391.8,23927.2,30316.4,24116,31133.6,26772.8,29765,33866.4,27524,26977,23162,30214,33155,23355,30609,30163,21793,32981,28187,27949,24799,27317,31839,22145,30548,29732,22591,33087,29883,24693,31837,23725,24727,25361,34155,25886,27170,27705,25610,33594,34489,43450,31879,33968,36947,35987,39541
155,7A,Suburban - Standalone,26,448000,31,319227.6,858919,22849.4,18263,21697.2,25037,25616.2,25049.2,26456,20747.4,26381.4,19553,25406,25824.2,18615.6,17732,24034,23641,16495,23739,17347,22031,16713,19695,19891,21838,17516,22081,19525,22365,22176,18165,24312,24522,24632,24052,20558,22563,20237,24028,24032,20601,19215,19146,17931,22184,25151,20213,23970,21291,25592,27337,36481,25887
156,Control,Suburban - Strip Mall,33,4000,37,324753.2,955973,23920.6,18421.4,25175,27657.2,20246.2,30582.2,22593.2,22026,21051.4,20956,23404.8,21585.2,27641,19493,24338,20006,21420,27150,22510,23169,22226,17887,24184,23154,25057,22890,18340,24703,25401,24968,26556,22228,24880,20410,24129,22433,20622,25876,26595,26699,25004,19514,27354,23263,29567,22333,28009,20183,31324,39548,33553,28997
157,Control,Urban - Strip Mall,18,339000,19,263323.2,759533,18949.2,17509.4,19104.6,20642.8,21027.8,18246,15219.8,19685.6,17972.6,15396.6,20295.6,18938.4,22056.8,18278,17947,19316,19513,20959,17983,16530,20243,15953,20247,18210,14145,20401,15509,14679,15470,17296,20168,19340,14657,18360,21420,19594,18032,21982,18554,22158,18937,15666,17516,18858,21503,23906,29134,18772,20418,24864,33620,19395
158,8A,Rural - Strip Mall,38,144000,9,426310.4,1208724,28138.8,25323.6,28023.6,31482.6,34170.4,35778.8,36280.6,25747.6,35812.6,34444,31565,26992.2,28770.6,23780,23803,26592,24484,26107,29601,26578,23586,32705,34493,29209,29320,25406,25177,32276,30331,25446,24245,25476,32046,34630,32402,31666,35589,26835,30804,31459,37112,26600,36308,29567,36051,36453,46441,33972,33795,39309,47594,31476
159,7B,Suburban - Standalone,37,262000,6,471425.2,1346608,27651.6,34346,34268,35964.8,37695.6,42686.6,28372,28612.8,31268.4,36300.2,32016,36253.8,35396.4,30593,28698,33720,27252,41656,27049,33113,30688,34286,28661,27758,31391,34065,37454,27623,37926,27731,32270,38142,29845,40040,35051,26873,26692,31887,34541,29804,28618,28026,38480,32090,37022,35658,54167,39817,37136,54912,49934,45939
160,Control,Suburban - Strip Mall,19,66000,67,135102,382378,7343.2,8007,9610,8041.2,10604,13107.8,10611.4,10458.2,10410,8148.4,8898,11490.8,10440,7932,7616,9585,7544,9483,9282,9314,9644,8283,10166,10153,7161,7994,9623,9608,9675,10551,7968,8355,10622,8098,10526,8674,8341,10002,8296,11466,8377,10222,8682,8933,8676,12686,13523,11035,11830,15131,17397,9924
161,Control,Rural - Strip Mall,37,179000,9,224661.2,651609,12765.4,16363,13602.6,14230.8,13742,19613.4,17557.4,13354,19281.2,15290,14310.2,19737.8,16963.4,17850,12579,15865,12921,14460,15657,14186,16343,17286,17840,16224,11962,17601,14631,12162,17174,12860,17417,14719,15052,19456,14509,17103,18048,18553,13813,17548,14641,15916,17422,14707,19857,15469,18597,19788,19932,25839,22614,23008
162,Control,Suburban - Standalone,41,5000,3,151239.6,417533,11122.4,11716.6,11209.2,11866.8,9135,11368,9877.2,11290.8,9829,10025.2,9019.2,13230,9862.2,11688,8892,11081,9939,12386,9995,9199,10608,8738,10715,7938,10134,11633,11580,8542,10338,10162,8225,11374,8793,8999,11580,9195,9013,10563,10209,8562,9479,11225,10699,12358,9192,14116,12694,9373,12849,16082,17741,11644
163,8B,Rural - Strip Mall,25,30000,5,386015,1020956,27720.4,29380,22329.4,29618.6,29371.2,30746.8,30775.2,26087.8,26916.6,23185.4,22391.4,32529.6,27699.6,27263,24940,19880,20647,27216,23282,19805,24945,20633,24943,20850,26745,29806,26356,25953,26075,24159,28921,26466,25687,27083,22588,26451,21096,24533,25148,26336,30460,23806,25129,22768,30072,28819,37416,29969,27008,32958,37481,27263
164,7B,Suburban - Standalone,10,28000,8,134585.6,387102,9686,9238.2,7303,11604.6,9280,11811.4,8048.8,9551.8,8944.4,7989.6,9845.4,11043.6,11407.8,8831,8505,7744,7314,9753,7529,10397,10554,10254,9478,9380,7507,11201,9171,9633,8853,8610,9712,8478,8670,11237,10879,8339,10008,9916,9035,8162,10036,9851,8313,10825,8774,10840,15158,8980,11584,14923,14493,14175
165,Control,Suburban - Standalone,34,350000,59,331740.6,985651,21942.4,28263.2,23729.2,25658.4,20316.2,27183.8,26726,23154.6,20491,23274.6,22576.8,23026,24494.4,20904,22850,19428,23287,25762,27633,22353,20175,24191,21170,20193,23561,30591,20489,23208,24440,19768,29300,25158,21633,25948,22143,29044,26799,21384,25239,25370,30859,24334,23636,24915,28311,25455,28840,21459,26897,43591,38322,27011
166,Control,Metropolitan - Strip Mall,22,208000,7,478891.8,1323326,32936,28429.2,30626.4,33919.2,26749,41071.4,36328.8,36436,37007.4,33023,38629.8,41121.8,35885.8,26728,35195,28552,30563,29467,26503,31310,25153,31214,26697,35645,30983,35561,34462,35947,31439,32975,31925,31874,31760,34262,35073,33672,29994,26564,39778,38858,30993,28617,38630,27667,37794,35727,48307,36005,41157,39569,61999,34707
167,Control,Suburban - Strip Mall,39,36000,9,371027.6,1083049,28316,21142.6,20363.8,28000.6,28049.8,38642.6,23177.2,30924.4,25373.8,25679.4,26170.6,29678,22787.8,22721,21790,27494,24954,28338,26248,21887,22632,24495,28805,27245,19512,33130,24083,27148,20527,30339,21439,28746,23269,25678,30681,25974,22733,31349,23948,28523,23005,29342,32308,25455,32824,31634,35515,32813,29940,38308,44385,33832
168,7B,Suburban - Strip Mall,40,14000,34,133286,375968,8212.2,8725.6,8765.4,9510.2,7712.2,12408.8,11179.4,9571.8,9242.4,8041.4,9489.2,11515.4,10169,8743,8467,8749,10331,9744,7442,8760,9136,8760,8189,8913,7569,10492,9470,7464,10241,9067,8469,7577,9005,9656,8749,9382,9351,7651,11544,10478,8741,10331,9308,11127,10041,10217,11418,8774,10540,15620,13535,12917
169,8B,Rural - Standalone,16,4000,6,273540.8,799576,15869.8,18326.2,18880.4,16586.2,15943.8,28258.6,23208.4,18112.8,16856.2,16712.4,18031,21705.8,23510.2,21539,16890,16631,19637,18283,20353,21684,18772,18861,15733,20010,16573,22317,19980,16996,21838,16197,21632,22329,22335,20073,16199,15930,20283,22747,23242,18832,19238,18884,24026,17564,22309,20356,27942,19475,22509,25451,29798,26128
170,Control,Rural - Standalone,29,325000,36,190821,555572,13795,11367.2,12743,15187,12499.6,16670.2,11025.2,13426.2,13551.6,14922.2,14310.8,12738.8,16211.2,12373,10899,15277,13686,14826,13038,11239,14285,10899,11018,11856,11018,13819,14064,15101,11275,13316,10834,15305,14775,13649,15217,14902,14145,13420,16035,14483,15798,12109,16028,15624,11743,15499,20582,12200,18106,17722,21620,17787
171,8A,Suburban - Standalone,20,24000,12,143448.2,412826,9172.4,8249.4,8985.8,11643.8,9181.2,15141.4,12682,10404.8,10976.6,8715.8,9619,9481.8,8978.2,10216,9890,9997,8970,12349,8600,8864,8127,11047,10539,8608,7832,8948,9550,9203,8056,8692,10860,12138,9341,11873,12461,8720,8592,10761,9897,9510,10558,12020,9812,9284,9928,11114,16260,11800,9685,17880,18993,11851
172,Control,Suburban - Standalone,35,128000,3,455198,1290311,27143.4,29197.2,33480.8,38250.8,35885,36093,25976.6,28106.6,26901.2,32490.8,36194.8,37285.4,35876.4,32316,32189,32267,26167,35628,35238,31346,26356,24133,27292,32448,25740,26930,31958,28775,35027,24580,31568,30615,28353,37595,28700,35307,37217,31676,26798,32238,29545,35294,34584,35657,37359,43585,42071,34535,29957,38638,57156,43473
173,7A,Urban - Standalone,31,264000,43,411364.4,1072440,27092.2,27578,28226,24100.6,28478.4,29426.6,29765.6,29775.6,31916.8,33429.8,24532,36143.4,30677.4,30222,25005,24979,24140,27145,26175,23631,24296,20973,21849,21539,22619,27387,26283,29940,21798,28995,27801,21764,22494,24434,26879,26711,24214,29184,32122,28067,23943,28415,26583,26907,25062,28768,42798,24127,25192,39685,49911,40403
174,8A,Metropolitan - Standalone,27,8000,10,416191,1180086,23628,24322.2,25187.8,24935,27437,41310.2,29483,34115.6,28840.4,28661.6,32102.4,37368.6,28814.2,29985,32132,25074,24493,31776,31970,22208,24430,31839,28294,21302,27112,31187,30247,23951,22189,22729,31309,32991,32124,26726,26616,23056,31767,34370,27097,35600,33391,35370,31149,32073,36528,30060,33335,25595,33641,46046,36383,43941
175,Control,Suburban - Standalone,24,399000,52,408695.4,1172721,29342,24617.2,23911.4,34216.8,31496.8,33657,25661.8,32532.8,27142,35160.8,26555.4,25592.2,35286.2,23523,32908,32630,23265,32675,31020,29482,27740,30566,27009,29531,25261,30076,27039,25148,31050,22894,30219,27879,25454,33023,25685,25142,27425,26141,25110,27096,28352,26143,27624,33411,31593,40106,38411,29892,37795,45295,42193,36915
176,Control,Suburban - Standalone,40,353000,18,427128.2,1232053,28375.8,33234,26131.6,28235.6,30028.8,37636.6,34102.6,29205,27328.2,31115,38183,27552.2,27232.8,28767,25554,29072,26386,34460,30131,27969,29105,24761,27811,24560,22225,36120,29921,27243,24389,26525,33746,29247,34754,30821,35640,26843,30006,36195,26685,25505,28951,32715,28307,37353,32549,28635,49128,36842,32144,52962,53199,34827
177,Control,Suburban - Standalone,30,11000,54,331574.4,916006,23798.2,22169.6,18279.4,24473.6,23092.8,28791.8,24652.6,20767.6,26903.8,22769,28526.8,25367.6,19622.6,22359,20921,20072,18719,28367,22182,23076,18806,24096,20486,23110,18676,27223,21656,17904,22037,17742,24188,18802,18588,27394,19580,25277,23345,23377,25835,24615,22295,25076,20185,22592,20531,28589,26265,20925,26159,34147,38934,31875
178,Control,Urban - Standalone,5,49000,37,367983.4,1116308,24538.4,23328.2,28318.4,23415,25409,31496.8,27173.4,25833.4,29437.6,27011.6,24966.2,29620.8,26060.6,21374,23299,26470,28338,32471,21436,21722,27316,25246,26407,21164,26739,29972,23947,28352,21502,31514,32220,32878,22297,30039,33426,25375,31497,27083,33013,29340,27539,27975,25428,26057,35051,29112,33870,23859,35173,39194,39133,39480
179,Control,Metropolitan - Standalone,36,397000,9,422382,1186855,28255,27107.8,29782,33350.4,26573.8,32024,34639.4,24182.6,34976,24656.6,31713,31929.6,34809.8,28382,23454,26404,25294,31930,30597,23548,24489,31879,26326,25931,24987,33056,22274,29058,27998,27412,24848,25679,30472,31866,32766,25835,28825,34117,24734,35614,34693,31920,28953,24426,37498,35061,33975,34162,36668,47576,52904,31244
180,7B,Urban - Standalone,33,103000,8,208608.8,584010,12967.6,13942.4,11495.4,17320.2,11755.2,20847.8,16443.4,13178.8,15949.4,13712.6,16204.6,15962.6,15359.8,13469,13466,14992,12064,14465,14779,15064,10814,10946,13010,13164,12527,12699,11245,14116,14479,15806,13458,11647,11545,15872,13292,16878,15770,12894,16988,12033,16866,17785,17258,17745,14016,16132,19943,14112,15582,20131,26120,20838
181,Control,Rural - Strip Mall,24,27000,3,207853,601852,11445.2,11852.2,13165,14949,15308.6,19822.6,16002,17741.2,12527.4,12617.4,16544.2,14635.6,16753.6,14489,11980,15861,13442,12643,12234,11978,11990,13513,15904,15613,12201,12406,15204,14982,13573,13337,14902,17182,17049,17194,13835,14527,17483,17602,13010,14188,17871,14265,15636,16951,15980,19275,17965,12746,15521,25088,19663,22569
182,Control,Suburban - Strip Mall,4,468000,88,352172.4,946103,20958.2,26210.4,24960.6,20066.4,25089.2,31488.4,25999.2,22407.4,24092.4,26295.2,25582.4,27992,26063.6,24967,26666,18125,24510,21404,20849,23075,18428,20533,22214,19471,19445,20382,18399,21507,18775,26390,25089,19559,18903,22355,25010,25496,20727,20712,23463,24920,27881,28775,19882,23690,25065,26405,37828,28659,30388,38786,41440,25930
183,Control,Urban - Standalone,18,104000,59,287621.4,825139,16145.4,21355.6,16330,23086,23586.8,27423,16536,20084.6,18510.8,18028,19646.8,24042.8,21739.6,21106,22029,16515,22929,23226,17244,16549,18993,16538,19926,21818,15666,20120,17222,19639,18901,16513,16591,19571,16620,22394,18154,23510,21687,22237,21801,21865,25126,18976,20552,21924,21417,23461,30143,24658,23400,26344,29864,29910
184,Control,Suburban - Strip Mall,3,206000,5,296307.6,840697,17630.4,23037.4,20630.8,21539.8,24137,26455.8,18871.6,22248.4,17753.6,23065.2,19197.6,20950.2,21004.8,19785,20693,20592,24244,20382,18953,20225,19462,20509,18547,17110,20588,18749,16506,22305,16939,16515,19146,22431,19317,20774,22722,23516,20254,17810,18339,25200,18298,23644,23929,20969,24939,28629,32442,20237,22011,30693,27039,26254
185,8A,Urban - Standalone,16,168000,64,189538,514140,11767.2,11550.8,14597,15217.8,12191.4,15914.6,13475,12119,15054.2,15008,12084.8,15122.2,15329,10107,10558,12296,13892,16274,11508,10597,11396,10247,13188,10495,13264,12655,12187,13186,10008,12567,14132,11322,14605,11163,12377,12273,13156,12035,13930,10933,14217,11993,14259,14871,13722,15081,18970,11815,14431,16145,22195,16090
186,Control,Urban - Strip Mall,6,113000,10,161248.8,486799,10275.8,11735.8,11237.2,12507.6,13544.2,13377,9826.6,11790.4,11525.6,10211.4,13560.2,10464.4,11076.6,10116,13076,12802,12723,13915,11384,9314,8926,11186,10919,9061,10320,11541,9697,11160,13132,12654,11268,11394,13418,13467,12695,12430,10048,13744,12411,11706,14498,14354,13654,14088,14144,13752,14472,10970,12430,19436,17431,13063
